accver	taxid	isolate	host	genotype	country	isolation_source	collection_date	strain	serotype	group	old_name	type	collected_by	gb_acronym	note	lab_host	subtype1	acronym	note.1	NA.	clone	map	cell_line	lat_lon	segment	identified_by	culture_collection	serogroup	subgroup	tissue_lib	tissue_type	acronym.1	variety
FJ025923.1	585060	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JN163987.1	1076301	NA	Gorilla gorilla beringei	NA	NA	Democratic Republic of Congo	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	seq17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DQ149624.1	46928	NA	NA	NA	NA	NA	NA	NA	26	NA	Human adenovirus type 26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KM659166.1	108098	gorilla 6800	Gorilla	NA	Uganda	NA	NA	NA	NA	NA	NA	NA	NA	HAdV-B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KF976526.1	130310	4746_IC	Homo sapiens	NA	Cote d'Ivoire	NA	2011-12-31	NA	NA	NA	Human adenovirus D	NA	Maude Pauly	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KF976531.1	130310	hu4882_IC	Homo sapiens	NA	Cote d'Ivoire	NA	2011-12-31	NA	NA	NA	Human adenovirus D	NA	Maude Pauly	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MK736449.1	714978	B55/Shenzhen056/CHN/2018	Homo sapiens	NA	China	conjunctival swab	2018-06-30	NA	NA	NA	NA	NA	Long Chen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MK736448.1	714978	B55/Shenzhen020/CHN/2018	Homo sapiens	NA	China	conjunctival swab	2018-06-30	NA	NA	NA	NA	NA	Long Chen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MK736453.1	714978	B55/Shenzhen157/CHN/2018	Homo sapiens	NA	China	conjunctival swab	2018-08-31	NA	NA	NA	NA	NA	Long Chen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MK736452.1	714978	B55/Shenzhen152/CHN/2018	Homo sapiens	NA	China	conjunctival swab	2018-08-31	NA	NA	NA	NA	NA	Long Chen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MK736451.1	714978	B55/Shenzhen134/CHN/2018	Homo sapiens	NA	China	conjunctival swab	2018-07-31	NA	NA	NA	NA	NA	Long Chen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MK736450.1	714978	B55/Shenzhen107/CHN/2018	Homo sapiens	NA	China	conjunctival swab	2018-07-31	NA	NA	NA	NA	NA	Long Chen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MG000753.1	10541	BA_18017-2000	Homo sapiens	NA	Argentina	nasopharyngeal aspirate	2000-09-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY530876.1	175569	NA	NA	NA	NA	NA	NA	ATCC VR-591	NA	NA	Simian adenovirus 22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY530878.1	175568	NA	NA	NA	NA	NA	NA	ATCC VR-593	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JN657519.1	31544	Py50A	Homo sapiens	16	Paraguay	nasopharyngeal aspirate	2010-07-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KM659139.1	108098	gorilla 6562	Gorilla	NA	Democratic Republic of the Congo	NA	NA	NA	NA	NA	NA	NA	NA	HAdV-B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KR606386.1	714978	HAdv-Israel-3924-13	Homo sapiens	NA	Israel	NPS	2013-06-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KP274049.1	130310	PGAH389/Cote d'Ivoire/2012	pig	NA	Cote d'Ivoire	NA	2011-12-31	NA	NA	NA	NA	NA	M. Pauly	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB018425.1	10521	NA	NA	NA	NA	NA	NA	NA	NA	NA	Human adenovirus type 14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DQ115409.1	10541	NA	NA	NA	NA	NA	NA	Slobitski	NA	NA	Human adenovirus type 11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EU078562.1	108098	NA	NA	NA	China	NA	NA	Harbin04B	NA	NA	Human adenovirus B	NA	NA	HAdV-B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	B	NA	NA	NA	NA	NA
MH513942.1	130310	NA	NA	NA	Iran: Ahvaz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A549 cells	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LC215426.1	556926	NA	Homo sapiens 55 year old man	NA	Japan:Kumamoto	NA	2012-05-30	case43_20121515	D53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LC215424.1	556926	NA	Homo sapiens 34 year old woman	NA	Japan:Kumamoto	NA	2012-04-11	case28_20121506	D53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FJ169625.1	130310	NA	NA	NA	NA	NA	NA	human/DEU/IAI-1/2005/53[P37H22F8]	NA	NA	Human adenovirus D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB330090.1	10527	NA	NA	NA	NA	NA	NA	Hicks	NA	NA	Human adenovirus 9	NA	NA	NA	synonym: Human adenovirus type 9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AJ854486.1	10527	NA	NA	NA	NA	NA	NA	type strain: ATCC VR-1086 = Hicks = NIAID V-209-003-014	9	NA	Human adenovirus 9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KF268197.1	130310	NA	Homo sapiens	D	USA: Connecticut	NA	2004-12-31	human/USA/UFL_Adv22/2005/53[P53/H53/F53]	22	NA	Human adenovirus D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB605245.1	556926	FS161/Fukui/2004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB605244.1	556926	C075/Matsuyama/2003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB605243.1	556926	960528C/Hiroshima/1996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB605242.1	130310	890357C/Hiroshima/1989	NA	NA	NA	NA	NA	NA	NA	NA	Human adenovirus D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB369373.1	130310	NA	NA	NA	NA	NA	NA	FS161/Fukui/2004	NA	NA	Human adenovirus D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB369372.1	130310	NA	NA	NA	NA	NA	NA	1/Yamaguchi/2004	NA	NA	Human adenovirus D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB369371.1	130310	NA	NA	NA	NA	NA	NA	C075/Matsuyama/2003	NA	NA	Human adenovirus D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KY618678.1	130310	human/DEU/Leipzig/2015/75[P75H26F58]	Homo sapiens	NA	Germany	feces of immunocompromised patient	2014-12-31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MK116618.1	556926	NA	Homo sapiens	NA	USA: CA,Los Angeles	eye	2017-06-29	USA/2017/CA-RGDS-1004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LC215428.1	556926	NA	Homo sapiens 47 year old woman	NA	Japan:Kumamoto	NA	2012-09-19	case47_20121537	D53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LC215422.1	556926	NA	Homo sapiens 55 year old man	NA	Japan:Kumamoto	NA	2012-02-06	case22_20111549	D53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB605241.1	130310	880249C/Hiroshima/1988	NA	NA	NA	NA	NA	NA	NA	NA	Human adenovirus D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB605240.1	130310	870006C/Hiroshima/1987	NA	NA	NA	NA	NA	NA	NA	NA	Human adenovirus D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB330098.1	46922	NA	NA	NA	NA	NA	NA	CH22	NA	NA	NA	NA	NA	NA	synonym: Human adenovirus type 17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KF268327.1	130310	NA	Homo sapiens	HAdV-D96	Germany	NA	1988-05-25	human/DEU/HEIM_00089/1988/96[P23H32F62]	32	NA	Human adenovirus D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB330113.1	46933	NA	NA	NA	NA	NA	NA	HH	NA	NA	NA	NA	NA	NA	synonym: Human adenovirus type 32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KY618677.1	130310	human/DEU/Leipzig/2015/74[P70H74F51]	Homo sapiens	NA	Germany	feces of immunocompromised patient	2014-12-31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LC215444.1	52275	NA	Homo sapiens 26 year old man	NA	Japan:Kumamoto	NA	2014-03-26	case140_20141501	D37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LC215443.1	52275	NA	Homo sapiens 74 year old woman	NA	Japan:Kumamoto	NA	2014-03-24	case136_20131618	D37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LC215440.1	52275	NA	Homo sapiens 21 year old woman	NA	Japan:Kumamoto	NA	2014-03-05	case126_20131602	D37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LC215437.1	1907210	NA	Homo sapiens 42 year old woman	NA	Japan:Kumamoto	NA	2014-02-16	case118_20131587	D37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LC215436.1	1907210	NA	Homo sapiens 27 year old man	NA	Japan:Kumamoto	NA	2014-02-03	case113_20131581	D37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LC215434.1	1907210	NA	Homo sapiens 25 year old man	NA	Japan:Kumamoto	NA	2014-01-26	case111_20131575	D37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LC215433.1	1907210	NA	Homo sapiens 54 year old man	NA	Japan:Kumamoto	NA	2014-01-26	case110_20131573	D37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LC215429.1	1907210	NA	Homo sapiens 13 year old woman	NA	Japan:Kumamoto	NA	2012-12-19	case67_20121578	D37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KP641339.1	130310	human/DEU/Leipzig/2014/70[P70H70F29]	Homo sapiens	NA	Germany	NA	2012-12-31	NA	NA	NA	NA	NA	NA	NA	multiple myeloma patient	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KF268334.1	130310	NA	Homo sapiens	HAdV-D93	Germany	NA	1988-03-27	human/DEU/HEIM_00094/1988/93[P28H37F38]	37	NA	Human adenovirus D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KF268326.1	130310	NA	Homo sapiens	NEW[P29H17F30]	Germany	NA	1988-05-19	human/DEU/HEIM_00084/1988/NEW[P29H17F30]	17	NA	Human adenovirus D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JN162671.1	1091197	Aids25/Manchester/1993	Homo sapiens	NA	United Kingdom	AIDS patient	1992-12-31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HQ910407.1	46922	D17	Homo sapiens	NA	Saudi Arabia	NA	1954-12-31	NA	NA	NA	Human Adenovirus Type 17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB475146.1	52275	matsuyamaA/2003	NA	NA	NA	NA	NA	NA	37	NA	Human adenovirus 37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB475144.1	52275	sapporoB/2003	NA	NA	NA	NA	NA	NA	37	NA	Human adenovirus 37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB448778.1	52275	2004	NA	NA	NA	NA	NA	NA	37	NA	Human adenovirus 37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JN226756.1	46933	NA	Homo sapiens	NA	NA	NA	1964-12-31	NA	NA	NA	NA	NA	NA	NA	belongs to Human adenovirus species D type: 32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB330130.1	218120	NA	NA	NA	NA	NA	NA	T87-677	NA	NA	NA	NA	NA	NA	synonym: Human adenovirus type 49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DQ393829.1	218120	NA	NA	NA	NA	NA	NA	NA	NA	NA	Human adenovirus type 49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KF268330.1	130310	NA	Homo sapiens	HAdV-D100	Germany	NA	1986-03-07	human/DEU/HEIM_00083/1986/100[P100H17F30]	17	NA	Human adenovirus D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JN226760.1	46935	NA	Homo sapiens	NA	El Salvador	NA	1976-12-31	NA	NA	NA	NA	NA	NA	NA	belongs to Human adenovirus species D type: 39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JN226755.1	46932	USA/BP-7-1/1959/30 [P30H30F30]	Homo sapiens	NA	USA	NA	1958-12-31	NA	NA	NA	NA	30	NA	NA	species D type: 30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP012285.1	1094363	NA	NA	NA	NA	NA	NA	BGD/2004/B172/[P58/H10/F9]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JN935766.1	1124795	NA	Homo sapiens	NA	USA	NA	1958-12-31	human/USA/BP-7-2/1959/63[P30H30F29]	NA	NA	NA	NA	NA	NA	HAdV-D63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB475149.1	52275	kumamotoB/2003	NA	NA	NA	NA	NA	NA	37	NA	Human adenovirus 37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB330120.1	46935	NA	NA	NA	NA	NA	NA	D335	NA	NA	NA	NA	NA	NA	synonym: Human adenovirus type 39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DQ149634.1	46935	NA	NA	NA	NA	NA	NA	NA	39	NA	Human adenovirus type 39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KY618679.1	130310	human/DEU/Berlin/2014/80[P19/23H28F22]	Homo sapiens	NA	Germany	respiratory material from neonate with acute respiratory distress syndrome	2013-12-31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
