accver	taxid	isolate	host	genotype	country	isolation_source	collection_date	strain	serotype	group	old_name	type	collected_by	gb_acronym	note	lab_host	subtype1	acronym	note.1	NA.	clone	map	cell_line	lat_lon	segment	identified_by	culture_collection	serogroup	subgroup	tissue_lib	tissue_type	acronym.1	variety
DQ149641.1	218120	NA	NA	NA	NA	NA	NA	NA	49	NA	Human adenovirus type 49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB695622.1	28275	HAdV-10_NIID-2	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KF268324.1	130310	NA	Homo sapiens	HAdV-D101	Germany	NA	1987-12-31	human/DEU/HEIM_00095/1988/101[P101H37F45]	37	NA	Human adenovirus D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB724351.1	28275	NA	NA	NA	NA	NA	NA	J.J.; ATCC VR-1504	10	NA	Human adenovirus 10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB695621.1	28275	HAdV-10_NIID-1	NA	NA	NA	NA	NA	NA	10	NA	Human adenovirus 10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB500123.1	52275	fukushima/2005	NA	NA	NA	NA	NA	NA	37	NA	Human adenovirus 37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB330111.1	46932	NA	NA	NA	NA	NA	NA	BP-7	NA	NA	NA	NA	NA	NA	synonym: Human adenovirus type 30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY875648.1	46941	NA	NA	NA	NA	NA	NA	NA	NA	NA	Human adenovirus type 46	NA	NA	NA	Ad46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	D	NA	NA	NA	NA
KF268206.1	130310	NA	Homo sapiens	HAdV-D95	Germany	NA	1984-04-09	human/DEU/HEIM_00100/1984/95[P95H9F15]	9	NA	Human adenovirus D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JN226758.1	46934	NA	Homo sapiens	NA	NA	NA	1964-12-31	NA	NA	NA	NA	NA	NA	NA	belongs to Human adenovirus species D type: 33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
