accver	taxid	country	collection_date
KF268128.1	108098	USA: Pittsburgh, Pennsylvania	1987-12-31
JQ764730.1	45659	China	2011-01-23
EF486506.1	45659	Taiwan	NA
EF486505.1	45659	Taiwan	NA
EF486501.1	45659	Taiwan	NA
EF494648.1	45659	Taiwan	NA
DQ105654.4	108098	NA	2004-06-30
AY599836.1	45659	USA: Illinois, NTC Great Lakes	NA
AB900148.1	108098	Japan:Fukui	1987-12-31
KF268202.1	108098	USA	NA
EF486503.1	45659	Taiwan	NA
EF494643.1	45659	Taiwan	2003-12-31
EF494640.1	45659	Taiwan	NA
EF570053.1	45659	Taiwan	NA
AY854180.1	45659	South Korea	NA
AY854174.1	45659	South Korea	NA
AY878716.1	45659	China	NA
EF486504.1	45659	Taiwan	NA
JN163977.1	1076317	NA	NA
EF486499.1	45659	Taiwan	NA
AB098564.1	262789	NA	NA
AF542126.1	45659	NA	NA
AF542104.1	45659	NA	NA
EF486498.1	45659	Taiwan	NA
AF542127.1	45659	NA	NA
AF542123.1	45659	NA	NA
AF542111.1	45659	NA	NA
AF542107.1	45659	NA	NA
AF542106.1	45659	NA	NA
KM659129.1	108098	Uganda	NA
EF486497.1	45659	Taiwan	NA
AF542114.1	45659	NA	NA
AF542112.1	45659	NA	NA
AF542108.1	45659	NA	NA
AF542105.1	45659	NA	NA
AF542115.1	45659	NA	NA
KC510700.1	714978	China	2010-12-31
AF542117.1	45659	NA	NA
AF542113.1	45659	NA	NA
AF542110.1	45659	NA	NA
KF268195.1	108098	USA: Missouri	2004-09-30
EF486496.1	45659	Taiwan	NA
KX691665.1	714978	China	2011-12-31
KX691664.1	714978	China	2010-12-31
KX691663.1	714978	China	2010-12-31
KX691662.1	714978	China	2010-12-31
KX691661.1	714978	China	2010-12-31
KX691660.1	714978	China	2010-12-31
KM659137.1	108098	Democratic Republic of the Congo	NA
KR527450.1	714978	Tunisia	2012-12-31
KC632615.1	10541	Thailand	2012-06-29
KM659159.1	108098	Gabon	NA
KY704409.1	10541	Thailand	2015-12-31
KC632684.1	10541	Thailand	2012-03-29
KR303726.1	108098	India	NA
KR303723.1	108098	India	NA
KR303721.1	108098	India	NA
KR303720.1	108098	India	NA
KP896481.1	10519	China	2013-01-17
KC857700.1	10519	China	2012-01-24
KP896480.1	10519	China	2013-01-18
KP896479.1	10519	China	2013-02-24
MH910668.1	10519	USA: South Carolina	1996-12-31
MH910664.1	10519	USA: Illinois	1996-12-31
MH910663.1	10519	USA: Illinois	1996-12-31
MH697602.1	10519	USA	2017-08-10
MH697601.1	10519	USA	2017-08-02
MH697600.1	10519	USA	2017-07-31
MG696148.1	10519	China	NA
MG696147.1	10519	China	NA
MG696144.1	10519	China	NA
MG696139.1	10519	China	NA
MG696136.1	10519	China	NA
